time,label,current_year,default,payoff,int.rate,orig.upb,fico.score,dti.r,ltv.r,bal.repaid,t.act.12m,t.del.30d.12m,t.del.60d.12m,hpi.st.d.t.o,hpi.zip.o,hpi.zip.d.t.o,ppi.c.FRMA,TB10Y.d.t.o,FRMA30Y.d.t.o,ppi.o.FRMA,equity.est,hpi.st.log12m,hpi.r.st.us,hpi.r.zip.st,st.unemp.r12m,st.unemp.r3m,TB10Y.r12m,T10Y3MM,T10Y3MM.r12m
25,2,2002,1,0,8.75,87000,664,35,87,1.3824940000000001,9,2,1,4.279253,126.38,10.42,2.76,-1.93,-1.89,0.87,22447.75,0.01664882,0.900048,1.304921,0.6,-0.1,-0.86,2.24,0.15
14,1,2001,0,1,8.125,130000,733,34,76,0.9862308000000001,12,0,0,4.217537,132.24,5.98,1.105,-1.09,-0.66,0.445,50069.87,0.04307006,0.9768734,1.322287,2.5,0.9,-1.07,2.78,3.23
27,1,2002,0,1,8.25,128000,614,50,80,2.169375,12,0,0,22.71009,132.28,34.78,1.7,-1.06,-1.58,0.12,76845.14,0.1066896,1.031864,1.423247,1.3,-0.3,-0.35,3.23,1.44
9,1,2001,0,1,7.25,275000,713,47,95,0.7193090999999999,12,0,0,8.549914999999999,123.07,4.43,0.23,-0.24,0.11,0.34,26871.61,0.1149029,1.041153,1.1444290000000001,1.7,0.5,-1.07,2.78,3.23
15,1,2003,0,1,6.5,140000,742,54,57,1.408714,12,0,0,4.630169,145.76,7.52,0.56,-1.18,-0.82,-0.26,120257.9,0.03145388,0.8910188,1.37325,0.1,0.0,-0.67,3.08,0.11
25,1,2002,0,1,8.75,60000,758,24,60,1.633767,12,0,0,5.262794,129.37,12.02,2.53,-1.57,-1.77,0.76,50271.44,0.0292029,0.9066638000000001,1.346342,0.7,-0.1,-0.71,2.64,1.03
11,1,2001,0,1,8.875,103000,733,38,91,0.9635921999999999,12,0,0,2.156929,137.51,2.85,1.855,-0.51,-0.13,1.725,13525.2,0.019669299999999997,0.9529254999999999,1.3765040000000002,2.4,0.8,-1.07,2.78,3.23
3,1,2002,0,1,6.75,242000,756,32,80,0.41322309999999995,12,0,0,3.025557,164.99,0.0,0.76,-0.78,-0.35,0.41,61500.0,0.1461542,1.078726,1.313138,0.9,0.1,-0.86,2.24,0.15
39,1,2003,0,1,8.125,70000,707,34,39,3.609414,12,0,0,13.36224,141.08,20.48,2.335,-2.56,-2.52,-0.185,138069.2,0.02686964,0.8980604,1.481982,0.8,0.6,-1.25,2.83,-0.67
10,1,2003,0,1,6.625,240000,762,19,74,0.9045416999999999,12,0,0,2.5102860000000002,139.49,3.0,1.385,-0.54,-0.75,0.635,93470.44,0.02821381,0.8820207,1.3036969999999999,0.7,0.2,-1.6,2.41,-0.82
24,1,2002,0,1,8.125,235000,791,24,46,1.698511,12,0,0,4.994629,131.33,8.49,1.575,-1.12,-1.58,-0.005,312886.9,0.02475721,0.9199896999999999,1.336031,1.3,-0.3,-0.35,3.23,1.44
18,1,2006,0,1,6.125,107000,660,31,59,2.302925,12,0,0,13.542720000000001,158.97,31.67,-0.015,0.6,0.61,0.595,111894.2,0.07005397,0.8057111,1.4396149999999999,-2.6,-0.1,0.06,-0.34,-1.0
5,1,2003,0,1,6.0,98000,776,27,79,0.0,12,0,0,4.018551,141.8,1.68,-0.32,0.49,0.53,0.21,27239.52,0.06851033,0.9606628,1.1815149999999999,0.4,0.2,0.19,3.5,0.86
22,1,2003,0,1,7.125,168000,721,50,80,1.6048209999999998,12,0,0,11.99899,130.45,15.89,1.225,-1.09,-1.22,0.005,70276.02,0.07383496,0.9691369000000001,1.275954,0.3,0.1,-0.99,2.88,-0.51
36,1,2006,0,1,5.75,130000,790,23,38,3.9687690000000004,12,0,0,79.03154,204.07,114.83,-0.87,1.78,1.38,0.51,409767.0,0.07703905,1.305767,1.464202,-0.5,-0.1,0.97,0.39,-0.91
1,1,2002,0,1,7.25,186000,790,43,49,0.0,12,0,0,0.0,156.04,0.0,0.49,0.0,0.0,0.49,193591.8,0.1113207,1.053417,1.31762,1.5,0.0,-0.23,3.43,1.66
